SMILES,Label,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,AromaticRings
CC1=CC(/C=C/c2ccccc2)=[N+]2C1=C(c1c(C)cc(-c3cnc4c(c3)-c3cccnc3[SiH2:2]4)cc1C)c1c(C)cc(/C=C/c3ccccc3)n1[B-]2(F)F,0,2.2205,2.9392,2.9794,3.1472,3.1959,3.2426,3.5135,3.5351,3.6393,3.6443,3.6481,3.7002,3.7333,3.7393,3.7484,1.0539,2.1111,2.6759,2.7004,2.7518,2.8763,2.9344,2.9491,3.1372,3.1954,3.3098,3.3726,3.5064,3.5171,3.5471,6
CC1=CC(/C=C/c2ccccc2)=[N+]2C1=C(c1c(C)cc(-c3cnc4sc5ncccc5c4c3)cc1C)c1c(C)cc(/C=C/c3ccccc3)n1[B-]2(F)F,1,2.2216,2.9799,3.0066,3.0586,3.2438,3.2481,3.5139,3.5352,3.6416,3.6504,3.6641,3.7341,3.7396,3.9094,3.9132,1.0559,2.1118,2.6762,2.7018,2.7521,2.9492,3.0064,3.0495,3.0683,3.2385,3.3162,3.3725,3.4771,3.5071,3.5177,7
CCO[P@@]1(=O)C(c2ccncc2)=C(c2c(C)cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2ccccc21,0,3.1104,3.6641,3.868,3.909,4.0323,4.0529,4.2586,4.2914,4.3178,4.407,4.429,4.4774,4.5225,4.5555,4.6914,2.3135,2.7996,3.1161,3.495,3.5107,3.5859,3.7533,3.8717,3.9038,3.9415,3.9821,3.9959,4.117,4.1768,4.2043,5
CCO[P@@]1(=O)C(c2ccncc2)=C(c2c(C)cc(-c3ccc4cc5c(cc4c3)c3ccccc3n5C)cc2C)c2ccccc21,0,2.747,3.2679,3.3963,3.6453,3.6787,3.7766,3.8955,3.9697,4.0042,4.1336,4.241,4.324,4.3277,4.4238,4.4576,2.2531,2.3219,2.7448,3.0859,3.1547,3.3857,3.5589,3.6083,3.6141,3.6794,3.737,3.83,3.8511,3.8874,3.9013,7
CC1=CC(/C=C/c2ccccc2)=[N+]2C1=C(C#CC1=Cc3ccccc3C1)c1c(C)cc(/C=C/c3ccccc3)n1[B-]2(F)F,1,1.9492,2.4634,2.9641,3.0238,3.0891,3.2076,3.3957,3.5061,3.5104,3.5289,3.6864,3.724,3.8922,4.0045,4.1601,0.873,1.6016,2.2739,2.5074,2.5964,2.6741,2.7842,2.9851,3.0863,3.3478,3.3507,3.3789,3.4784,3.5008,3.5873,4
CCCCN1C(=S)c2cccc3c(-c4c(C)cc(C)c(-c5ccnc6ncccc56)c4C)ccc(c23)C1=S,0,1.825,2.1634,2.8526,3.0453,3.1118,3.2282,3.3682,3.4952,3.5379,3.6217,3.7131,3.7286,3.7662,3.8249,4.0058,1.5614,1.6363,1.8471,1.9543,2.9944,3.0366,3.0966,3.2235,3.31,3.3356,3.3613,3.3939,3.444,3.5393,3.6003,5
Cc1cc(C)c(-c2ccc3ccc(=S)oc3c2)c(C)c1-c1ccc2c(c1)[nH]c1ncccc12,0,2.5126,3.3404,3.4487,3.5252,3.6431,3.7347,4.0869,4.1734,4.2145,4.4281,4.4683,4.5788,4.6673,4.6868,4.7172,2.0154,2.2008,3.1093,3.1647,3.3364,3.4487,3.4745,3.5461,3.6546,3.683,3.7335,3.9577,4.0915,4.1455,4.2418,6
CC1=CC(/C=C/c2ccccc2)=[N+]2C1=C(c1c(C)cc(C)c(-c3cccc4c(N(C)C)cccc34)c1C)c1c(C)cc(/C=C/c3ccccc3)n1[B-]2(F)F,1,2.2308,2.5196,2.9957,3.1721,3.2408,3.3915,3.4633,3.4918,3.518,3.5786,3.6418,3.7279,3.79,3.7918,3.8401,1.0724,2.1134,2.5113,2.5907,2.6816,2.7043,2.75,2.9502,3.1823,3.3372,3.4049,3.4648,3.488,3.5432,3.5649,6
Cc1cc(C)c(-c2ccc3ccc(=S)oc3c2)c(C)c1-c1ccc2c(c1)-c1cnccc1[SiH2:2]2,0,2.5124,3.5225,3.6848,3.729,3.7959,4.0859,4.1689,4.1832,4.2101,4.2215,4.3088,4.3729,4.4096,4.4224,4.5536,2.0164,2.2,2.9641,3.1765,3.5979,3.6696,3.6864,3.7238,3.7831,3.7859,3.7985,3.8781,4.0684,4.1185,4.1343,5
CCO[P@@]1(=O)C(c2ccncc2)=C(c2c(C)cc(C)c(-c3cnc4sc5ncccc5c4c3)c2C)c2ccccc21,0,3.5774,3.7621,3.8504,3.9362,4.031,4.0401,4.1876,4.2184,4.2471,4.29,4.3112,4.4586,4.4804,4.4985,4.6017,2.3253,3.146,3.4519,3.5268,3.5422,3.5857,3.6759,3.8072,3.8566,3.904,3.9377,4.0004,4.043,4.0479,4.0995,6
